country,No of LOL Viewers
US,111863
CA,15691
DE,12537
,9668
GB,8077
TR,5404
AU,5211
SE,4047
NL,4014
DK,3378
GR,3369
PT,3294
PL,3075
RO,2952
FR,2828
BR,2647
NO,2630
IT,2565
MX,2465
TW,2343
BE,1946
ES,1755
FI,1712
NZ,1470
CZ,1279
RS,1233
CL,1197
RU,1141
AT,1138
HU,1136
BG,1122
LT,1083
HR,1077
IL,1033
HK,930
SG,758
PH,726
MA,708
AR,662
JP,630
CH,613
KW,547
SI,526
AE,519
SA,516
IE,510
CO,481
SK,459
BA,437
PR,367
LV,322
AL,305
EE,279
CR,272
KR,268
MY,256
UA,232
TN,228
ZA,214
VE,213
CY,203
EG,182
VN,176
PE,171
MK,158
TT,128
MT,104
BB,103
DO,98
QA,88
IN,87
IS,86
JM,86
PA,80
JO,79
UY,73
GE,69
CN,62
NI,62
LB,61
LU,55
BS,54
ME,52
MO,47
BH,46
IQ,41
PK,40
GT,38
TH,37
DZ,34
BY,33
ID,29
CW,28
EC,28
HN,26
KZ,26
MD,25
SV,24
OM,23
AW,21
FO,19
GU,19
IR,18
PY,17
RE,17
BD,15
JE,14
BZ,13
KE,13
AM,12
MN,12
BO,11
BN,10
LI,10
MU,10
PS,10
NG,9
EU,8
GP,8
PF,8
GI,7
IM,7
FJ,6
GF,6
LC,6
VI,6
AX,5
BQ,5
KY,5
LK,5
AI,4
DM,4
GG,4
KH,4
LY,4
SD,4
AG,3
KG,3
SR,3
VC,3
BM,2
GL,2
KN,2
MC,2
TC,2
VG,2
A1,1
AD,1
AZ,1
GA,1
GY,1
MQ,1
NC,1
SC,1
SM,1
SN,1
