game,No_of_viewers
League of Legends,241599
Dota 2,112106
Counter-Strike: Global Offensive,65104
DayZ,48150
Heroes of the Storm,44223
Gaming Talk Shows,43858
The Binding of Isaac: Rebirth,34999
Hearthstone: Heroes of Warcraft,24239
World of Tanks,22680
Agar.io,13750
Rocket League,8078
ARK: Survival Evolved,4628
SpeedRunners,3767
Devil May Cry 4: Special Edition,1960
Duck Game,1138
Fallout 3,538
Breaking Point,162
Batman: Arkham Knight,120
Grand Theft Auto V,81
Reign Of Kings,50
The Witcher 3: Wild Hunt,45
Block N Load,34
Depth,28
Mortal Kombat X,22
H1Z1,7
Super Mario Bros.,6
Music,4
The Elder Scrolls V: Skyrim,3
The Last of Us,3
Risk of Rain,2
Senran Kagura: Estival Versus,2
Besiege,1
Blackjack,1
Bridge Constructor Medieval,1
Choice Chamber,1
Cities: Skylines,1
Hektor,1
Lucius,1
Super Mario Bros. 3,1
The Sims 4,1
You Must Build A Boat,1
