Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2010,1,2,3,4,32575,33244,"Los Angeles, CA (Metropolitan Area)","Memphis, TN",246.9,253.45,262.26,249.62
2003,1,2,3,4,31995,31703,"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",173.35,165.83,162.46,155.77
2000,1,2,3,4,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",126.87,123.88,112.06,123.98
2009,1,2,3,4,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",238.43,215.85,219.67,234.6
2001,1,2,3,4,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",259.18,193.11,166.06,163.45
2009,1,2,3,4,32467,33570,"Miami, FL (Metropolitan Area)","San Diego, CA",224.13,219.73,208.47,224.26
2001,1,2,3,4,31066,32575,"Columbus, OH","Los Angeles, CA (Metropolitan Area)",185.89,172.43,157.33,148.68
1997,1,2,3,4,30397,31267,"Atlanta, GA (Metropolitan Area)","Dayton, OH",188.59,184.94,184.6,194.53
1997,1,2,3,4,32457,34689,"San Francisco, CA (Metropolitan Area)","Santa Barbara, CA",108.87,96.19,94.82,94.57
2004,1,2,3,4,31057,31650,"Charlotte, NC","Minneapolis/St. Paul, MN",256.06,210.79,216.52,212.82
2002,1,2,3,4,30977,32575,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",225.2,192.27,164.89,171.1
2007,1,2,3,4,30713,32575,"Boise, ID","Los Angeles, CA (Metropolitan Area)",157.25,149.51,151.5,161.36
2003,1,2,3,4,33316,32457,"Omaha, NE","San Francisco, CA (Metropolitan Area)",181.93,164.46,167.82,176.77
2010,1,2,3,4,30977,34986,"Chicago, IL","Sarasota/Bradenton, FL",146.08,145.97,132.4,150.44
2009,1,2,3,4,30397,34576,"Atlanta, GA (Metropolitan Area)","Rochester, NY",129.35,125.26,124.9,139.44
2012,1,2,3,4,30194,31871,"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",243.83,262.62,258.61,232.24
1997,1,2,3,4,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",196.54,172.54,168.85,185.44
2010,1,2,3,4,33044,33195,"Louisville, KY","Tampa, FL (Metropolitan Area)",155.76,165.97,150.98,166.72
2012,1,2,3,4,32448,30852,"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",244.59,219.8,199.62,190.22
2008,1,2,3,4,30529,32467,"Hartford, CT","Miami, FL (Metropolitan Area)",209.57,183.34,194.48,202.33
2014,1,2,3,4,30792,30466,"Buffalo, NY","Phoenix, AZ",245.78,248.11,252.02,256.82
2006,1,2,3,4,31057,31650,"Charlotte, NC","Minneapolis/St. Paul, MN",218.43,218.5,209.8,192.51
2005,1,2,3,4,33851,32457,"Oklahoma City, OK","San Francisco, CA (Metropolitan Area)",195.11,195.71,198.87,192.26
1999,1,2,3,4,30397,33342,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",240.44,230.29,213.19,202.53
2008,1,2,3,4,30466,34653,"Phoenix, AZ","Tulsa, OK",171.13,170.1,190.06,194.17
2013,1,2,3,4,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",133.08,133.95,146.9,150.58
2008,1,2,3,4,32600,30852,"Little Rock, AR","Washington, DC (Metropolitan Area)",210.9,217.58,222.66,210.8
2010,1,2,3,4,30397,31714,"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",172.12,158.23,134.02,141.12
2005,1,2,3,4,30423,31295,"Austin, TX","Detroit, MI",219.55,215.61,195.92,208.6
2004,1,2,3,4,30140,32211,"Albuquerque, NM","Las Vegas, NV",123.37,121.46,119.83,124.01
2014,1,2,3,4,31423,32575,"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",246.3,246.81,236.21,262.05
2001,1,2,3,4,30325,31454,"Denver, CO","Orlando, FL",226.07,216.51,197.7,192.76
2004,1,2,3,4,33495,30852,"New Orleans, LA","Washington, DC (Metropolitan Area)",181.83,187.25,160.99,163.01
2000,1,2,3,4,30647,31714,"Cleveland, OH (Metropolitan Area)","Fort Myers, FL",173.33,163.35,144.01,167.77
1996,1,2,3,4,31267,31703,"Dayton, OH","New York City, NY (Metropolitan Area)",186.98,181.71,190.09,204.29
2005,1,2,3,4,34492,33570,"Raleigh/Durham, NC","San Diego, CA",204.29,204.05,202.74,192.91
1998,1,2,3,4,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",267.22,263.44,258.76,250.77
1997,1,2,3,4,31453,33851,"Houston, TX","Oklahoma City, OK",96.88,104.18,103.91,104.81
1997,1,2,3,4,30397,34524,"Atlanta, GA (Metropolitan Area)","Richmond, VA",236.31,229.75,230.52,234.97
1998,1,2,3,4,32211,33214,"Las Vegas, NV","San Antonio, TX",111.77,113.86,118.3,121.01
2002,1,2,3,4,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",185.99,193.38,195.95,179.26
1999,1,2,3,4,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",257.25,255.31,234.6,231.78
2006,1,2,3,4,30397,30685,"Atlanta, GA (Metropolitan Area)","Bloomington/Normal, IL",138.78,140.05,132.47,119.55
2001,1,2,3,4,31603,32457,"Eugene, OR","San Francisco, CA (Metropolitan Area)",153.87,136.74,139.04,146.99
1998,1,2,3,4,34614,30852,"Salt Lake City, UT","Washington, DC (Metropolitan Area)",218.59,220.52,226.5,220.9
2004,1,2,3,4,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",265.88,250.04,245.96,211.22
2014,1,2,3,4,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",372.49,373.71,390.08,360.7
2004,1,2,3,4,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",143.8,132.38,117.03,118.09
2007,1,2,3,4,30529,32457,"Hartford, CT","San Francisco, CA (Metropolitan Area)",246.76,263.5,263.83,254.13
2006,1,2,3,4,30194,34100,"Dallas/Fort Worth, TX","Philadelphia, PA",258.62,281.33,282.79,202.14
2011,1,2,3,4,31714,31123,"Fort Myers, FL","St. Louis, MO",179.48,182.48,172.21,204.38
2005,1,2,3,4,31453,33851,"Houston, TX","Oklahoma City, OK",120.04,123.53,125.16,128.19
2006,1,2,3,4,30647,30693,"Cleveland, OH (Metropolitan Area)","Nashville, TN",99.2,101.38,97.62,97.39
2000,1,2,3,4,34057,30852,"Portland, OR","Washington, DC (Metropolitan Area)",284.49,262.13,263.65,260.92
1997,1,2,3,4,31714,30529,"Fort Myers, FL","Hartford, CT",124.58,127.66,124.61,143.56
2011,1,2,3,4,32600,30852,"Little Rock, AR","Washington, DC (Metropolitan Area)",219.98,228.93,217.29,213.69
2010,1,2,3,4,32211,30852,"Las Vegas, NV","Washington, DC (Metropolitan Area)",232.14,245.0,236.06,234.6
2006,1,2,3,4,30325,34100,"Denver, CO","Philadelphia, PA",191.06,219.79,224.72,204.23
2011,1,2,3,4,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",111.32,114.63,100.32,111.59
2011,1,2,3,4,30977,33198,"Chicago, IL","Kansas City, MO",146.13,169.98,167.02,163.32
2007,1,2,3,4,32211,34783,"Las Vegas, NV","Springfield, MO",137.97,148.0,142.01,140.82
2004,1,2,3,4,32211,30466,"Las Vegas, NV","Phoenix, AZ",85.68,88.81,89.1,90.4
2003,1,2,3,4,30466,33192,"Phoenix, AZ","Sacramento, CA",102.42,103.94,102.6,105.65
2011,1,2,3,4,33728,30852,"Pensacola, FL","Washington, DC (Metropolitan Area)",211.92,215.07,212.11,217.13
